"id","screen_name","date","retweet_count","favorite_count","text","url","user_name","user_screen_name","user_description","user_profile_image_url","user_followers_count","user_friends_count","user_favourites_count","user_statuses_count","retweeted_status","sensitive","ContentModerationStatus","ContentModerationPicture","sentiments","Emotion"
"1174062437991092225","Cosmic_Engineer","9/17/2019 8:47:52 PM","0","0","@prayingmedic 🤡 Polictics 101","https://twitter.com/Cosmic_Engineer/status/1174062437991092225","雄冴真","Cosmic_Engineer","🌲🐯
 ♊ Reiki Master ☯️

#LawofOne
#TaoTeChing
#Kybalion
#TeamGreatMother 🌎
https://t.co/soZNKvVl5D…","http://pbs.twimg.com/profile_images/808160331960709120/mSA2_PoS_normal.jpg","265","126","9135","5144",,,"No Review Required",,"0.860517740249634","Fear:0;Neutral:0;Happiness:0;Disgust:0;Surprise:0;Sadness:0;Anger:0;Contempt:0"
"1174038663673667587","Qamer7","9/17/2019 7:13:24 PM","0","0","@Xadeejournalist @BBhuttoZardari Bhutto dynasty is destroying our  generations, they since 4 decades they r promoti… https://t.co/loVEfl6ZwM","https://twitter.com/Qamer7/status/1174038663673667587","Qamer","Qamer7","","http://pbs.twimg.com/profile_images/1160202257100615680/eQbIhdCX_normal.jpg","164","90","341","440",,,"No Review Required","Adult: False, Racy: False","0.0375380218029022","Fear:0;Neutral:0;Happiness:0;Disgust:0;Surprise:0;Sadness:0;Anger:0;Contempt:0"
"1174019479807959046","YaminaAkram","9/17/2019 5:57:10 PM","0","0","The so called sindh leaders are busy to polish their polictics they don't have time for public matters they r faile… https://t.co/oP9oaRn2R6","https://twitter.com/YaminaAkram/status/1174019479807959046","YAMINA AKRAM","YaminaAkram","Student - Dreamer - Freedom Fighter of KASHMIR","http://pbs.twimg.com/profile_images/1173211879352786947/ptbYCnEm_normal.jpg","14","43","371","788",,,,,"0.221656501293182","Fear:0;Neutral:0;Happiness:0;Disgust:0;Surprise:0;Sadness:0;Anger:0;Contempt:0"
"1173950930452041729","sash2904","9/17/2019 1:24:47 PM","0","0","@sardesairajdeep @narendramodi Shameless polictics even in wishes.
Credits to Rajdeep
#HappyBdayPMModi","https://twitter.com/sash2904/status/1173950930452041729","Sashank","sash2904","at medical school..
Right Winger, Hindu Nationalist
Lutiens coterie may call me a bhakth","http://pbs.twimg.com/profile_images/1143538576157626368/puRU27Qn_normal.jpg","121","764","18442","6235",,,"No Review Required",,"0.0649177134037018","Fear:0;Neutral:0.979;Happiness:0.02;Disgust:0;Surprise:0;Sadness:0;Anger:0;Contempt:0.001"
"1173822052110753792","SolanTheTamilE2","9/17/2019 4:52:40 AM","0","0","Polictics always run from the man in the power 😠 #BiggBossTamil3 @vijaytelevision https://t.co/oRxCRMjxkn","https://twitter.com/SolanTheTamilE2/status/1173822052110753792","#SolanTheTamilEmpire","SolanTheTamilE2","Green Tamilan V2","http://pbs.twimg.com/profile_images/1173477401734467585/H8rehheL_normal.jpg","9","35","467","501",,"False","No Review Required","Adult: False, Racy: False","0.5","Fear:0;Neutral:0.936;Happiness:0.061;Disgust:0;Surprise:0;Sadness:0;Anger:0;Contempt:0.002"
"1173647593487949824","kishore246","9/16/2019 5:19:26 PM","0","0","@timesofindia malala should stay out of polictics.","https://twitter.com/kishore246/status/1173647593487949824","kishore50","kishore246","Allergist","http://pbs.twimg.com/profile_images/513659627007799296/X9W9VCMK_normal.jpeg","54","143","63","705",,,"No Review Required",,"0.696556687355042","Fear:0;Neutral:0;Happiness:0;Disgust:0;Surprise:0;Sadness:0;Anger:0;Contempt:0"
"1173646970734276608","kamerabsu","9/16/2019 5:16:57 PM","0","1","@StuMurphy73 @JustinTrudeau Well, he IS 'doing polictics differently' in a very evil/deceitful/corrupted way.  😉","https://twitter.com/kamerabsu/status/1173646970734276608","Kamerabsu","kamerabsu","Retired, contributed taxes all my life. Conservative. Oh, I swear sometimes, just can't help it.","http://pbs.twimg.com/profile_images/1169308300954886144/QwK1_WSJ_normal.jpg","124","403","529","990",,,"Need Review","Adult: False, Racy: False","0.149213820695877",
"1173623933792411648","gots0mesuga","9/16/2019 3:45:25 PM","0","0","@WinterRae82 Polictics is ain’t it","https://twitter.com/gots0mesuga/status/1173623933792411648","Jo Will","gots0mesuga","Outside the box and between the lines....","http://pbs.twimg.com/profile_images/1171179528124817408/Ok2EIfZV_normal.jpg","35","220","904","546",,,,,"0.671933650970459",
"1173596172801466368","WPress101","9/16/2019 1:55:06 PM","0","0","build website https://t.co/Bg8HYWA8bf build a website around risks in nigeria. social, media, polictics (Budget: €2… https://t.co/JURstcynhP","https://twitter.com/WPress101/status/1173596172801466368","WordPress 101","WPress101","Developing WordPress.","http://pbs.twimg.com/profile_images/1091065447259156480/XMIpsEwl_normal.jpg","436","65","0","15047",,"False",,,"0.5",
"1174068154944897025","abwales","9/17/2019 9:10:35 PM","0","0","@chaplinez70 That's FA polictics for you. Something is fishy .","https://twitter.com/abwales/status/1174068154944897025","Olawale Abiodun","abwales","","http://pbs.twimg.com/profile_images/1125879334055632897/RCbPVsfB_normal.jpg","24","194","205","832",,,,,"0.0939940214157104","Fear:0;Neutral:0.971;Happiness:0.001;Disgust:0;Surprise:0;Sadness:0.002;Anger:0;Contempt:0.026"
